Categoria;Data;Grupo;Produto;Ano Do Carro;Estado;Valor
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.0 Mpi Trendline (flex);2017;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$38.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Álcool 4p Manual G.iii;2002;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$12.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Tec Total Flex 5p;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$23.700
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.0 Mi 16v Série Ouro;1999;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$9.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Comfortline Total Flex 5p;2016;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$32.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Vht Trend Total Flex 5p;2011;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$22.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City 4p;2003;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$12.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 2.0 Mi 8v;2001;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$34.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Volkswagen Gol 1.6 L Mb5 Flex;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$46.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Trend;2009;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$19.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Special 1.0 Total Flex 8v 3p;2016;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$25.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Tec Total Flex 5p;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$24.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Vht Rallye Total Flex 5p;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$38.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 T.flex 12v 5p;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$37.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 5p;2011;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$20.400
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Tec Total Flex 3p;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$22.999
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Cli 2p 8v Veiculo De Unico Dono 29 Mil Km;1996;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$29.900
